Countries,Q1'20,Q2'20,Q3'20,Q4'20,Q1'21,Q2'21,Q3'21,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23
India,101.9,63.7,94.6,186.2,165.8,119.6,168,343.9,135.5,170.7,191.7,276.3,126.3,158.1,210.2,266.2
China,106.5,137,183.1,214.7,289.3,211.5,228.7,264.2,234.9,148.4,242.7,199,273.9,191.9,247.4,245.9
United States,37.7,32.8,50.1,66.8,58.2,67.4,56.2,83.1,57.6,65.5,55.2,74,58,68.1,51.4,75
Turkyie,31.9,23.9,55.5,35.7,53.2,12.2,18.5,11.3,17.6,17.8,47,39.3,60,51.9,39.8,40.5
Russian Federation,10.8,4.9,9,10.1,10.3,10.8,12.7,13,13.9,15,16.1,15.6,15,16.9,19.6,19.6
Germany,47.7,45.1,30.7,42.6,45.6,46.9,35.8,45.4,48.7,51.5,44.2,52.1,13.7,14.1,13.7,16.1
Thailand,7.5,-39.9,-43.8,-5.3,8.3,7.5,8.6,12.4,3.8,8.5,12.1,14,7.4,7.6,13,15.1
Islamic Republic of Iran,16.6,9.9,16.3,13.5,12.2,9.4,15.4,14.9,17.7,14.5,22.6,16.8,20,18.9,17.8,15
Vietnam,16.8,6.8,6.6,9.6,18.6,12.6,3.3,8.5,19.6,14,12,13.5,17.2,12.7,11.9,13.7
UAE,11.3,2.1,5.2,8.1,10.7,8.8,10.1,12,14.5,15.4,12.9,12.6,12,13.3,12.6,13.3
Indonesia,8,7.3,9.9,12.5,11.5,8.1,13.1,14,10.5,9.4,14.9,14.8,11.9,8.4,12.6,12.5
Saudi Arabia,9.4,3,9.6,9.1,11,10.1,11,12.1,11.7,12.2,13.5,12.8,13.4,12.8,13.8,12.3
Egypt,7.8,2,6.3,7.4,8.9,7.8,9,8.5,12.2,10.3,15,14,15.8,17.1,12.6,11.5
Pakistan,11.3,2.3,6.3,8.9,11.9,9.2,9.7,10.3,9.7,11.5,13,10.1,9.9,11.1,11.6,10.4
United Kingdom,6.8,5.8,6.4,10.6,6,7.6,8.3,12.9,7.1,8.1,8.6,11.9,7,7.3,7.1,9.6
Italy,2,1.8,2.4,7.6,2.2,3.4,2.7,8.9,2.5,3.8,3.1,10.1,2.6,3.8,3,9.4
Switzerland,14,11.8,7.5,9.6,13,12,9.1,9.7,13.5,11.6,11,12.6,10.8,8.1,8,8.8
"Korea, Republic of",7.9,7.7,9.9,9.8,10.9,9.4,9.1,10.2,9.1,8.4,7,7.8,7.4,6.6,5.9,7.7
Canada,4.3,4.1,4.9,7.5,5.4,6.9,4.6,9.1,6.1,7.1,5.3,9.1,5.6,6.6,4.1,7.5
Australia,0,0,0,0,7.7,7.8,6.5,8.9,10.3,8.3,9,8.6,6.9,6.9,5,6.3
France,3.2,2.5,3.2,5.1,3.8,2.9,3.2,7.2,4.4,4.3,3.6,7.7,4.6,4,2.6,5.6
Brazil,3.6,4,3.5,4.9,3.3,4.2,3.7,5.1,3.4,4.4,3.9,5.3,3.3,4.3,3.9,5.5
Kuwait,4.2,3,2.5,3.4,4.5,4.4,3.7,3.9,4.1,4.8,5.1,4.8,4.1,5.5,4.9,5.1
Malaysia,3.3,2.3,3.7,3.8,4.2,3.3,2.2,5.1,5.2,4.5,3.7,5.2,4.4,3.8,3.7,4.7
Mexico,3.8,3.1,3.2,3.2,3.2,3.5,3.5,3.9,3.2,3.5,3.5,4.1,3.3,3.6,3.6,4.2
Singapore,2.9,1.2,2.6,2.7,3.5,2.7,2.1,3.2,4.1,3.8,3.3,3.6,3.3,3,2.7,3.6
Japan,-3.5,0.1,3.6,4.3,8.2,0.2,5.9,1.2,-6.8,0.1,7.4,3.7,1.5,6.5,4.5,3.4
Sri Lanka,1.3,0.5,0.7,1.7,1.8,1,0.6,0.8,2.2,0.4,0.3,0.9,2.7,2.9,2.3,2.6
Spain,1.7,1.6,1.5,2.1,1.6,1.9,1.8,2.5,1.7,2,1.9,2.5,1.7,2,1.9,2.5
Austria,2.8,3.3,2.4,3.1,3.2,2.9,2.5,3.6,3.7,3,3.3,4.2,1.3,0.9,0.9,1.1
